ID;Runtime;Sound Mix;Color;Aspect Ratio;Camera;Laboratory;Film Length;Negative Format;Cinematographic Process;Printed Film Format
tt2356777;55m;Dolby Digital;Color;1.78 : 1;Arri Alexa Mini, Panavision Primo, C-Series and PVintage Lenses, Arri Alexa SXT, Panavision Primo, C-Series and Ultra Speed Z-Series MKII Lenses (season 3), Arri Alexa XT Plus, Panavision B-, C-, E-, G-Series and ATZ Lenses (season 2), Panavision Panaflex Millennium XL2, Panavision Primo and PVintage Lenses (season 1);DeLuxe, New York (NY), USA, Film Lab, New York (NY), USA;N/A;35 mm (Kodak Vision3 50D 5203, Vision3 500T 5219), Redcode RAW, SxS Pro;Digital Intermediate (2K, master format), Panavision (anamorphic, source format, season 2-), Redcode RAW (8K, source format, season 3), Super 35 (3-perf, source format, season 1);Video (HDTV)
tt0944947;69h 49m (4189 min) (entire series);Dolby Digital, Dolby Atmos (Blu-ray release);Color;1.78 : 1;Arri Alexa Mini, Cooke S4/i and Hawk V-Series Lenses (season 8), Arri Alexa SXT Plus, Cooke S4/i, Hawk V-Series and Angenieux Optimo Lenses (season 8), Arri Alexa Studio, Cooke S4 and Angenieux Optimo Lenses (Season 3 & 4), Arri Alexa XT, Cooke S4 and Angenieux Optimo Lenses (Season 5 & 6), Arri Alexa, Cooke S4 and Angenieux Optimo Lenses (Season 1 -2), Red Epic Dragon;N/A;N/A;Digital;Codex (season2-), Digital Intermediate (2K) (master format), Dolby Vision, HDCAM SR (season 1), HDR10, Hawk Scope (anamorphic, season 8, source format, some scenes), ProRes (season 2-), Redcode RAW (some shots, Season 5-);Digital (HDTV), Dolby Vision (UHD Blu-ray and HBO Max release), UHDTV (UHD Blu-ray and HBO Max release)
tt13159924;50m;Dolby Digital;Color;16:9 HD;Sony Venice;N/A;N/A;N/A;N/A;N/A
tt0306414;59m;Dolby Digital (seasons 3-5), Dolby (Dolby Surround, seasons 1-2);Color;16:9 HD (restored hd version), 4:3;Panaflex Millennium XL (as Panaflex Camera and Lenses by Panavision), Panavision Cameras and Lenses;Postworks, New York, USA;N/A;35 mm, 35 mm (Kodak Vision 200T 5274), 35 mm (Kodak Vision 500T 5279);Super 35 (3-perf);35 mm
tt16419074;1h 51m (111 min);Dolby Digital;Color;1.85 : 1;Arri Alexa 35, Panavision Primo, VA and Angenieux Optimo Lenses, Arri Alexa Mini LF, Panavision Primo, VA and Angenieux Optimo Lenses, Arriflex 416 (some scenes), Red V-Raptor 8K VV, Angnieux Optimo Ultra Compact Lenses;N/A;N/A;16 mm (some scenes), Codex, Redcode RAW (8K);ARRIRAW (4.5K, 4.6K, source format), Digital Intermediate (4K, master format), Redcode RAW (8K, source format), Super 16 (source format, some scenes);N/A
tt29025916;4m (Australia);Stereo (RCA Sound Recording);Black and White (Color Noir);1.66 : 1;N/A;N/A;N/A;N/A;N/A;N/A
tt14586350;6h 18m (378 min) (entire series);Dolby Digital;Color;2.00 : 1;Panavision Panaspeed Lenses;N/A;N/A;N/A;Digital Intermediate (4K, master format);N/A
tt21909764;1h 57m (117 min);N/A;Color;N/A;Hawk V-Series Anamorphic Lenses;N/A;N/A;N/A;N/A;N/A
tt14954666;4h 36m (276 min);Dolby Digital;Color;2.00 : 1;Arricam LT, Leitz Summicron-C and Summilux-C Lenses, Arriflex 435 Xtreme, Leitz Summicron-C and Summilux-C Lenses;Company 3;N/A;35 mm (Kodak);Digital Intermediate (4K, master format), Super 35 (3-perf, source format);Video (UHD)
tt3581920;50m;Dolby Atmos, Dolby Digital;Color;1.78 : 1;Arri Alexa Mini, Cooke S4/i lenses;Company 3;N/A;Codex;ARRIRAW (3.4K, source format), Digital Intermediate (4K, master format), Dolby Vision, HDR10;Digital (HDTV)
tt3581921;;;;;;;;;;
tt3581922;16m;N/A;Color;N/A;N/A;N/A;N/A;N/A;N/A;N/A
tt3581923;;;;;;;;;;
tt3581924;N/A;N/A;Color;N/A;N/A;N/A;N/A;N/A;N/A;N/A
